att1,att2,label
-0.542542348,3.076261398,0
-0.04816573,3.203736207,0
0.352437561,2.780910315,0
0.865153001,3.216087434,0
1.287321921,3.172421445,0
2.093569549,2.872204392,0
2.712237779,2.94740327,0
2.888991639,2.964791519,0
3.574783815,3.225269716,0
4.093090028,3.173216383,0
4.731843174,2.778441996,0
4.921446257,3.21132974,0
5.482593194,3.140204313,0
6.196014415,3.063417374,0
6.506770669,3.016808323,0
7.032067431,2.926671151,0
7.51268667,3.139806998,0
-0.013790811,2.693925334,0
0.398455051,2.436971749,0
0.803222658,2.349712674,0
1.331777739,2.25443999,0
1.983787105,2.349752385,0
2.669876051,2.427279332,0
2.807222413,2.695453769,0
3.381080869,2.432727426,0
4.040442019,2.664784814,0
4.725014354,2.63577237,0
5.035829265,2.657775088,0
5.734525213,2.266192322,0
5.956877693,2.422893378,0
6.631711545,2.500231996,0
6.822399231,2.465843538,0
0.531597347,1.930982297,0
0.773293978,2.158856796,0
1.360239152,2.154413929,0
1.918542796,1.897465768,0
2.453577058,2.213647198,0
3.134454491,2.211466221,0
3.455817207,1.842959462,0
4.078699901,1.820072697,0
4.5598032,1.888602404,0
4.882822448,1.975590248,0
5.72267066,1.760167337,0
6.045275477,2.235384515,0
6.440366591,1.813174167,0
1.351809556,1.625029243,0
1.964804084,1.399795541,0
2.339566202,1.468540511,0
2.863677584,1.560621132,0
3.695865287,1.251301666,0
4.019360241,1.438993672,0
4.703432317,1.71794535,0
5.08128308,1.494610276,0
5.273762347,1.491451693,0
2.841991935,1.026280533,0
3.445840439,1.033628471,0
3.803232086,1.048283342,0
-0.611685857,4.377988776,1
-0.165406652,4.542620524,1
0.258418749,4.430098619,1
1.217741682,4.342299708,1
1.573132,4.651710342,1
1.961295145,4.308393894,1
2.674191795,4.624070755,1
2.837662714,4.697335776,1
3.312912463,4.394197901,1
3.866953907,4.652919721,1
4.359737641,4.265517834,1
4.830994295,4.514823677,1
5.341348135,4.461578017,1
5.825687813,4.570562305,1
6.385379836,4.471636721,1
6.990778128,4.401295098,1
7.26458473,4.623709776,1
0.046420723,5.173895653,1
0.662558755,5.213298891,1
1.11721873,4.810071169,1
1.362189016,5.245672861,1
2.107001251,4.900667602,1
2.508413106,5.110915232,1
2.840892004,5.168084671,1
3.440451121,4.81776561,1
4.156730718,5.187589583,1
4.576912304,4.943497178,1
5.102740892,5.076972879,1
5.406928327,5.097627041,1
6.109340901,5.146128353,1
6.705533587,4.880666651,1
7.134853571,5.197962132,1
0.40769689,5.488351074,1
0.754872615,5.571390819,1
1.311726342,5.44136443,1
1.913644684,5.412634068,1
2.578811515,5.286521956,1
2.766690285,5.333989415,1
3.3197836,5.290771758,1
4.002171071,5.331156718,1
4.544395548,5.351654364,1
5.025499788,5.482776662,1
5.392252304,5.269008673,1
6.069152891,5.560075562,1
6.673842337,5.566026283,1
1.35721521,6.01079324,1
1.81731014,5.991850159,1
2.676845049,5.841819863,1
2.987340178,6.188135439,1
3.340884122,5.970281933,1
3.914775323,6.239894517,1
4.283126869,6.137655458,1
5.155927881,6.107880552,1
5.452868607,5.80909272,1
3.00154065,6.713911722,1
3.702587831,6.263728068,1
4.240568934,6.263346376,1
