att1,att2,label
0.176953086,-0.229564258,0
0.328495079,-0.146103837,0
1.01998441,0.154821821,0
1.452528091,-0.20078165,0
2.126394457,0.073950094,0
2.486776852,0.226509765,0
3.108129959,-0.059236163,0
3.366611695,0.226764772,0
3.80498231,-0.216400401,0
4.4082668,-0.07527779,0
4.826535418,0.138286152,0
5.277379849,-0.192901711,0
5.793035027,-0.149524162,0
6.438945809,-0.009174701,0
6.803196276,-0.051309358,0
-0.126338224,0.677092708,0
0.424088899,0.61178574,0
1.089023359,0.454831445,0
1.288555316,0.738195508,0
1.840610413,0.283905891,0
2.646794945,0.395453133,0
2.89875594,0.681750062,0
3.286143451,0.354949803,0
4.113027753,0.51094047,0
4.252214678,0.543292284,0
4.75707353,0.3035545,0
5.609554524,0.632366553,0
5.79179603,0.3015994,0
6.478531105,0.319278939,0
7.001558727,0.618599292,0
-0.098594166,1.173531342,0
0.725908348,0.803741759,0
0.846139893,1.006046435,0
1.47278492,0.846996688,0
2.066863522,1.109995028,0
2.728757277,0.992367447,0
3.200980103,1.182167926,0
3.638679398,0.909065871,0
3.992657686,1.06713168,0
4.716820016,0.820542796,0
5.188190467,1.072997848,0
5.749760738,0.92280915,0
5.994217237,0.796700621,0
6.561891196,1.160011164,0
7.077224575,0.805645879,0
-0.154781366,1.445080785,0
0.579358305,1.377725391,0
0.843803653,1.488308305,0
1.316135057,1.461075351,0
2.186154925,1.647339536,0
2.378375774,1.528354214,0
3.11373628,1.539234071,0
3.291047898,1.316076012,0
3.793556697,1.633318117,0
4.45350184,1.281435029,0
5.183905721,1.633029958,0
5.39078877,1.743980392,0
6.164246506,1.258707536,0
6.434201992,1.321230121,0
6.980304192,1.305630823,0
0.037535195,3.820792586,1
0.501330355,4.074652564,1
1.160514668,4.238980774,1
1.545609209,3.949545756,1
1.765847367,4.220843912,1
2.595596248,3.955592894,1
2.850639708,3.804112465,1
3.428388902,4.105056439,1
4.041313899,4.009599155,1
4.358962342,4.175618395,1
4.885473185,4.103146854,1
5.32025484,4.106161238,1
5.773450378,3.829012835,1
6.695694181,3.765609265,1
7.1112706,3.970816328,1
-0.103360137,4.407838912,1
0.55383035,4.364220106,1
0.998637875,4.647646009,1
1.480867834,4.730185876,1
1.784708808,4.644751398,1
2.72725738,4.53216231,1
3.248762311,4.426607758,1
3.349311207,4.585679258,1
3.798166023,4.673743333,1
4.660158265,4.618025385,1
5.077160885,4.476155724,1
5.52916303,4.658051947,1
6.042348011,4.562382976,1
6.644648111,4.469670118,1
7.077522748,4.333152484,1
0.194740727,5.130924306,1
0.622651893,4.912606419,1
1.101137589,5.013516384,1
1.475184551,4.808501595,1
2.170881412,4.976131943,1
2.369702717,4.982439851,1
3.053872086,5.100051929,1
3.673591677,4.799055123,1
3.906108525,4.840347488,1
4.721150886,4.971784058,1
4.920170985,5.111129002,1
5.700100229,5.024551903,1
5.928637921,5.219157505,1
6.395002493,5.105913604,1
6.886039177,4.949510685,1
-0.222764546,5.50810702,1
0.386133865,5.34923049,1
0.835519137,5.636869597,1
1.259065177,5.681089492,1
1.917880802,5.487994185,1
2.651522915,5.644292926,1
2.80440399,5.612937403,1
3.33405793,5.39436259,1
3.828323415,5.666688697,1
4.712687983,5.631695603,1
4.909294605,5.658000741,1
5.635871604,5.670229653,1
5.968806905,5.313242529,1
6.308869236,5.681670612,1
6.963915077,5.523683829,1
3.375963482,1.808124485,0
3.413902215,2.0870914,0
3.353179004,2.436693203,0
3.561445596,2.69907226,0
3.551517856,2.702107026,0
3.668438095,3.101797376,1
3.542709521,3.468763855,1
3.548620071,3.356038853,1
3.367652955,3.515168328,1
